randv1	cos	rn	6500679	c033	f615104067c40949	OK bffc f2142e8c6cd4727a	OK bffc f2142e8c6cd4727b
randv1	cos	ru	2858512	402b	a023d0b24157b0d6	OK 3ffe fe73d38607ae3245	OK 3ffe fe73d38607ae3244
randv1	cos	ru	5164101	c006	c2e4e4275189399d	OK 3ffe fe4c653803373812	OK 3ffe fe4c653803373811
randv1	cos	ru	7990815	401d	b5d373d177f1eb43	OK 3ffe fb496e3f506246ff	OK 3ffe fb496e3f50624700
randv1	sin	rd	4874415	c02f	deb64efdf184a873	OK bffe fefd963da1d6a426	OK bffe fefd963da1d6a425
randv1	sin	rd	7394792	c00d	dbd08dc1357cf85a	OK bffc b0544dfa088fda0e	OK bffc b0544dfa088fda0f
randv1	sin	rn	3133126	4016	b1dbc588a7057f83	OK 3ffe fe218cb14a7ffd54	OK 3ffe fe218cb14a7ffd53
randv1	sin	rn	5524543	c003	ed0c54bb6592cc09	OK 3ffe fa278dec624832d2	OK 3ffe fa278dec624832d1
randv1	sin	rn	6516211	4039	f93a965b8e95df8a	OK 3ffc d3d76acbdb62919c	OK 3ffc d3d76acbdb62919d
randv1	sin	ru	3299966	c035	c6922e431f576000	OK bffe ffd9bf242a7eece3	OK bffe ffd9bf242a7eece4
randv1	sin	ru	6363167	4005	bffccba984e26b9f	OK 3ffe fc15268577b6565d	OK 3ffe fc15268577b6565e
randv1	sin	ru	6394724	c037	fb109f8a9d6453dd	OK 3ffe fe3dca0fd7f6c054	OK 3ffe fe3dca0fd7f6c053
randv1	sin	ru	7394792	c00d	dbd08dc1357cf85a	OK bffc b0544dfa088fda0d	OK bffc b0544dfa088fda0e
